X,Y,Z,formation
300,100,400,oceanic_bottom
300,500,400,oceanic_bottom
300,900,400,oceanic_bottom
700,100,300,oceanic_bottom
700,500,300,oceanic_bottom
700,900,300,oceanic_bottom
900,100,50,oceanic_bottom
900,500,50,oceanic_bottom
900,900,50,oceanic_bottom
300,100,600,oceanic_top
300,500,600,oceanic_top
300,900,600,oceanic_top
1600,100,350,continental_deep
1600,500,350,continental_deep
1600,900,350,continental_deep
1800,100,350,continental_deep
1800,500,350,continental_deep
1800,900,350,continental_deep
1600,100,450,continental_shallow
1600,500,450,continental_shallow
1600,900,450,continental_shallow
1800,100,450,continental_shallow
1800,500,450,continental_shallow
1800,900,450,continental_shallow
1600,100,550,continental_top
1600,500,550,continental_top
1600,900,550,continental_top
1800,100,550,continental_top
1800,500,550,continental_top
1800,900,550,continental_top
850,100,550,continental_top
850,500,550,continental_top
850,900,550,continental_top
950,100,550,continental_top
950,500,550,continental_top
950,900,550,continental_top
1050,100,550,continental_top
1050,500,550,continental_top
1050,900,550,continental_top
800,100,500,continental_top
800,500,500,continental_top
800,900,500,continental_top
